Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Quarter,Week,Is_Year_End,Holiday_Flag_missing
6,2011-02-18,1572117.54,0,59.61,3.045,214.7775231,6.858,2011,2,1,7,0,1
13,2011-03-25,1807545.43,0,42.38,3.435,128.6160645,7.47,2011,3,1,12,0,0
17,2012-07-27,,0,,,130.7195806,5.936,2012,7,3,30,0,0
11,,1244390.03,0,84.57,,214.55649680000005,7.346,,,,,0,0
6,2010-05-28,1644470.66,0,78.89,2.759,212.412888,7.0920000000000005,2010,5,2,21,0,0
4,2010-05-28,1857533.7,0,,2.756,126.1602258,7.896,2010,5,2,21,0,0
15,2011-06-03,695396.19,0,69.8,4.069,134.85516130000002,7.657999999999999,2011,6,2,22,0,0
20,2012-02-03,2203523.2,0,39.93,3.617,213.0236225,6.961,2012,2,1,5,0,0
14,2010-12-10,2600519.26,0,30.54,3.109,,,2010,12,4,49,1,0
3,,418925.47,0,60.12,3.555,224.1320199,6.832999999999998,,,,,0,0
8,2011-08-19,895066.5,0,82.92,3.554,219.07019680000005,6.425,2011,8,3,33,0,0
18,2010-10-15,1029618.1,0,52.02,2.878,132.7633548,9.331,2010,10,4,41,0,0
7,2011-05-13,414094.05,0,36.61,3.767,192.826069,8.595,2011,5,2,19,0,0
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012,3,1,11,0,0
17,2010-10-01,829207.27,0,60.07,2.853,126.2346,6.885,2010,10,4,39,0,0
6,2010-04-30,1498080.16,0,68.91,2.78,211.8942725,7.0920000000000005,2010,4,2,17,0,1
13,2010-08-20,1997397.63,0,76.34,2.85,,7.951,2010,8,3,33,0,0
18,,1205307.5,0,21.33,2.7880000000000003,131.52790320000005,9.202,,,,,0,0
2,2011-12-16,2432736.52,0,50.13,,,7.441,2011,12,4,50,1,0
3,2012-05-18,,0,72.38,3.63,225.2512024,6.664,2012,5,2,20,0,0
7,2010-04-02,561145.14,0,38.26,2.725,189.7048215,8.963,2010,4,2,13,0,0
5,2011-05-13,290930.01,0,77.38,3.899,216.5343611,6.489,2011,5,2,19,0,0
18,2012-10-12,1074079.0,0,50.97,4.029,138.9117,8.243,2012,10,4,41,0,0
19,2010-03-26,1427023.45,0,39.07,2.963,131.863129,8.35,2010,3,1,12,0,0
19,2012-05-04,1405007.44,0,50.76,4.124,138.0332,8.15,2012,5,2,18,0,0
17,2012-10-12,919878.34,0,44.82,3.797,131.1083333,5.527,2012,10,4,41,0,0
3,2012-01-13,367438.62,0,51.86,3.261,,6.832999999999998,2012,1,1,2,0,0
16,2011-05-20,435397.19,0,43.95,3.828,192.831317,6.339,2011,5,2,20,0,0
17,2010-04-16,757738.76,0,45.22,2.915,126.5621,6.635,2010,4,2,15,0,0
6,2011-08-26,1420405.41,0,,3.523,217.2706543,6.925,2011,8,3,34,0,0
12,2011-05-06,1021154.48,0,68.4,4.1930000000000005,129.04443329999998,13.736,2011,5,2,18,0,0
5,2011-12-30,,1,,3.129,220.1178226,6.3,2011,12,4,52,1,0
7,2012-02-10,563460.77,1,18.79,3.103,196.9195056,8.256,2012,2,1,6,0,0
14,2012-02-10,2077256.24,1,37.0,,,8.424,2012,2,1,6,0,0
2,,1853161.99,0,87.7,3.48,214.9296249,,,,,,0,0
19,2011-03-25,1266564.94,0,33.26,3.789,133.9587419,7.771,2011,3,1,12,0,0
3,2011-09-23,365248.94,0,80.19,3.467,219.7414914,7.567,2011,9,3,38,0,0
18,2011-04-15,988157.72,0,,3.823,134.2784667,8.975,2011,4,2,15,0,0
4,2011-06-24,2008344.92,0,81.85,3.57,129.0663,5.9460000000000015,2011,6,2,25,0,0
5,2011-11-11,311906.7,0,60.71,3.297,218.5699621,6.3,2011,11,4,45,0,0
18,2012-04-27,961186.23,0,50.43,4.023,137.9781333,8.304,2012,4,2,17,0,0
16,2012-09-14,526525.16,0,,3.659,198.1267184,6.061,2012,9,3,37,0,0
1,,1661767.33,1,,3.73,222.4390153,6.908,,,,,0,0
7,2011-08-26,629994.47,0,57.6,3.485,194.3796374,8.622,2011,8,3,34,0,1
1,2010-02-12,1641957.44,1,38.51,2.548,211.24216980000003,8.106,2010,2,1,6,0,0
2,2012-02-24,1861802.7,0,54.63,3.555,220.275944,7.057,2012,2,1,8,0,0
5,2010-07-30,268929.03,0,82.46,2.64,211.9270006,6.496,2010,7,3,30,0,0
19,2010-07-02,1549018.68,0,66.25,2.958,132.5218667,8.099,2010,7,3,26,0,0
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.9620000000000015,2011,8,3,31,0,1
16,2012-03-30,485095.41,0,48.29,3.75,197.4133259,6.162000000000001,2012,3,1,13,0,0
13,2012-06-01,2035431.39,0,61.11,3.788,130.95922579999998,5.965,2012,6,2,22,0,0
2,2010-11-12,1916812.74,0,59.69,2.728,211.6608975,8.163,2010,11,4,45,0,0
9,2010-06-25,509263.28,0,85.02,2.653,214.8965756,,2010,6,2,25,0,0
14,2011-03-25,1879451.23,0,41.76,3.625,184.9943679,8.549,2011,3,1,12,0,1
10,2012-07-06,1805999.79,0,86.87,3.666,130.7196333,7.17,2012,7,3,27,0,0
13,2011-09-23,1847430.96,0,63.6,3.648,129.5183333,6.877000000000002,2011,9,3,38,0,0
8,2010-08-27,888816.78,0,74.92,2.619,214.9362793,6.315,2010,8,3,34,0,0
4,2011-01-07,,0,,2.98,127.1917742,6.51,2011,1,1,1,0,0
6,2010-07-30,1532308.78,0,,2.64,212.8944846,6.973,2010,7,3,30,0,0
14,2012-02-17,2020550.99,0,36.85,3.695,189.8424834,8.424,2012,2,1,7,0,0
14,2011-05-06,2095599.93,0,,4.046,185.9374378,8.521,2011,5,2,18,0,0
10,2012-03-02,1990371.02,0,57.62,3.882,130.6457931,7.545,2012,3,1,9,0,0
12,2010-12-17,1295605.35,0,52.77,3.236,126.8794839,14.313,2010,12,4,50,1,0
5,2012-10-19,313358.15,0,69.17,3.594,224.0192873,5.4220000000000015,2012,10,4,42,0,0
4,2011-12-16,2771397.17,0,36.44,3.149,129.8980645,5.143,2011,12,4,50,1,0
10,,1714309.9,0,43.43,3.287,127.1917742,8.744,,,,,0,1
18,2010-08-06,1166117.85,0,73.67,2.792,132.6141935,9.342,2010,8,3,31,0,0
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.3679999999999986,2010,2,1,5,0,0
12,2011-08-12,955913.68,0,91.04,3.701,129.2015806,13.503,2011,8,3,32,0,0
20,2010-03-26,,0,50.49,2.854,204.201755,8.187000000000001,2010,3,1,12,0,0
18,2010-12-17,1588430.71,0,27.4,3.139,,9.331,2010,12,4,50,1,0
20,2012-09-07,,1,76.36,3.911,215.21895730000003,,2012,9,3,36,0,0
13,2010-12-10,2461468.35,0,36.78,2.817,126.7934,7.795,2010,12,4,49,1,0
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787000000000001,2010,8,3,34,0,1
1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,,2012,10,4,42,0,0
20,2010-06-25,1973135.87,0,75.17,2.8080000000000003,204.5675459,7.856,2010,6,2,25,0,0
15,2012-03-16,570611.23,0,47.42,4.021,137.5843871,7.943,2012,3,1,11,0,0
3,2011-07-29,,0,88.07,3.682,,7.567,2011,7,3,30,0,0
1,2011-11-18,1539483.7,0,62.25,3.3080000000000003,218.2205088,7.866,2011,11,4,46,0,0
20,2010-09-24,1789687.65,0,69.37,,,7.527,2010,9,3,38,0,0
9,2010-11-19,519823.3,0,49.96,2.7710000000000004,215.43728540000004,6.56,2010,11,4,46,0,0
5,,359206.21,0,,3.63,221.4342146,5.943,,,,,0,0
11,,1569607.94,0,52.77,3.51,223.9170153,6.832999999999998,,,,,0,0
15,,607475.44,0,79.97,3.972,135.8738387,7.806,,,,,0,0
8,2010-09-03,,0,76.14,2.577,214.894576,6.315,2010,9,3,35,0,0
2,2011-01-07,1758050.79,0,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011,1,1,1,0,0
17,,986922.62,0,,3.793,131.03754840000002,6.235,,,,,0,0
3,2012-05-11,431985.36,0,75.19,3.688,225.2351496,6.664,2012,5,2,19,0,0
20,,2045837.55,0,39.79,3.739,213.4725116,6.961,,,,,0,0
2,,1797732.56,0,76.42,3.786,215.1544822,7.931,,,,,0,0
9,2010-07-09,485389.15,0,78.51,2.642,214.6564301,6.442,2010,7,3,27,0,1
17,,1046782.52,0,68.91,3.63,,5.936,,,,,0,0
3,,384200.69,0,,2.667,214.7027646,,,,,,0,0
12,2011-05-27,964332.51,0,,4.087,129.0623548,13.736,2011,5,2,21,0,0
14,2011-07-15,1953544.76,0,78.47,3.76,186.1399808,8.625,2011,7,3,28,0,0
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,2,19,0,0
8,2010-03-12,860336.16,0,49.76,,214.7492449,6.299,2010,3,1,10,0,0
5,2010-04-30,298697.84,0,67.53,,210.939388,,2010,4,2,17,0,0
10,2010-06-25,1768172.31,0,90.32,,126.1266,9.524,2010,6,2,25,0,0
13,2010-07-02,2018314.71,0,78.82,2.814,126.1392,7.951,2010,7,3,26,0,0
3,2010-06-18,364076.85,0,83.52,2.637,214.7858259,7.343,2010,6,2,24,0,0
2,2012-01-06,1799520.14,0,46.75,,219.355063,7.057,2012,1,1,1,0,0
18,,1087051.26,0,69.75,3.815,135.4468,8.89,,,,,0,0
4,2010-12-10,2302504.86,0,42.4,2.86,126.7934,7.127000000000002,2010,12,4,49,1,0
3,2012-06-22,419497.95,0,82.7,3.346,225.3068615,6.664,2012,6,2,25,0,0
19,2010-07-30,1366395.96,0,72.83,2.932,132.5983871,8.099,2010,7,3,30,0,0
14,2010-02-26,2095591.63,0,34.89,,,8.992,2010,2,1,8,0,0
8,2010-02-12,994801.4,1,33.34,2.548,214.62141890000004,6.299,2010,2,1,6,0,0
18,2010-05-28,1256282.79,0,69.12,2.906,132.2939355,,2010,5,2,21,0,0
